index	symbol	source_file	line_no	raw
62	strcasecmp	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2189	strcasecmp = .text:0x800DB274; // type:function size:0x94 scope:global
63	strcpy	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2191	strcpy = .text:0x800DB308; // type:function size:0x84 scope:global
64	strlen	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2193	strlen = .text:0x800DB38C; // type:function size:0x6C scope:global
65	strlwr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2195	strlwr = .text:0x800DB3F8; // type:function size:0x44 scope:global
66	strncmp	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2197	strncmp = .text:0x800DB43C; // type:function size:0xE0 scope:global
67	strncasecmp	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2199	strncasecmp = .text:0x800DB51C; // type:function size:0xBC scope:global
68	strncpy	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2201	strncpy = .text:0x800DB5D8; // type:function size:0xCC scope:global
69	strstr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2203	strstr = .text:0x800DB6A4; // type:function size:0x68 scope:global
70	__do_global_ctors	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2208	__do_global_ctors = .text:0x800DB790; // type:function size:0x90 scope:global
71	__main	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2209	__main = .text:0x800DB820; // type:function size:0x34 scope:global
72	__ashldi3	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2211	__ashldi3 = .text:0x800DB854; // type:function size:0x40 scope:global
73	__ashrdi3	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2213	__ashrdi3 = .text:0x800DB894; // type:function size:0x40 scope:global
74	__divdi3	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2215	__divdi3 = .text:0x800DB8D4; // type:function size:0x590 scope:global
75	__lshrdi3	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2219	__lshrdi3 = .text:0x800DBE6C; // type:function size:0x40 scope:global
76	__moddi3	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2221	__moddi3 = .text:0x800DBEAC; // type:function size:0x544 scope:global
77	__udivdi3	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2223	__udivdi3 = .text:0x800DC3F0; // type:function size:0x518 scope:global
78	__umoddi3	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2225	__umoddi3 = .text:0x800DC908; // type:function size:0x4C8 scope:global
79	PPCMfmsr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2226	PPCMfmsr = .text:0x800DCDD0; // type:function size:0x8 scope:global
80	PPCMtmsr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2227	PPCMtmsr = .text:0x800DCDD8; // type:function size:0x8 scope:global
81	PPCMfhid0	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2228	PPCMfhid0 = .text:0x800DCDE0; // type:function size:0x8 scope:global
82	PPCMfl2cr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2229	PPCMfl2cr = .text:0x800DCDE8; // type:function size:0x8 scope:global
83	PPCMtl2cr	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2230	PPCMtl2cr = .text:0x800DCDF0; // type:function size:0x8 scope:global
84	PPCMtdec	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2231	PPCMtdec = .text:0x800DCDF8; // type:function size:0x8 scope:global
85	PPCSync	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2232	PPCSync = .text:0x800DCE00; // type:function size:0x8 scope:global
86	PPCHalt	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2233	PPCHalt = .text:0x800DCE08; // type:function size:0x14 scope:global
87	PPCMtmmcr0	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2234	PPCMtmmcr0 = .text:0x800DCE1C; // type:function size:0x8 scope:global
88	PPCMtmmcr1	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2235	PPCMtmmcr1 = .text:0x800DCE24; // type:function size:0x8 scope:global
89	PPCMfhid2	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2236	PPCMfhid2 = .text:0x800DCE2C; // type:function size:0x8 scope:global
90	PPCMthid2	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2237	PPCMthid2 = .text:0x800DCE34; // type:function size:0x8 scope:global
91	PPCMtwpar	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2238	PPCMtwpar = .text:0x800DCE3C; // type:function size:0x8 scope:global
92	OSGetConsoleType	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2239	OSGetConsoleType = .text:0x800DCE44; // type:function size:0x28 scope:global
93	OSInit	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2241	OSInit = .text:0x800DCF78; // type:function size:0x350 scope:global
94	OSExceptionInit	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2242	OSExceptionInit = .text:0x800DD2C8; // type:function size:0x280 scope:local
95	__OSDBIntegrator	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2243	__OSDBIntegrator = .text:0x800DD548; // type:function size:0x24 scope:local
96	__OSDBINTSTART	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2244	__OSDBINTSTART = .text:0x800DD548; // type:label scope:global
97	__OSDBJump	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2245	__OSDBJump = .text:0x800DD56C; // type:function size:0x4 scope:local
98	__OSDBJUMPSTART	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2246	__OSDBJUMPSTART = .text:0x800DD56C; // type:label scope:global
99	__OSDBJUMPEND	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2247	__OSDBJUMPEND = .text:0x800DD570; // type:label scope:global
100	__OSSetExceptionHandler	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2248	__OSSetExceptionHandler = .text:0x800DD570; // type:function size:0x1C scope:global
101	__OSGetExceptionHandler	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2249	__OSGetExceptionHandler = .text:0x800DD58C; // type:function size:0x14 scope:global
102	OSExceptionVector	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2250	OSExceptionVector = .text:0x800DD5A0; // type:function size:0x9C scope:local
103	__OSEVStart	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2251	__OSEVStart = .text:0x800DD5A0; // type:label scope:global
104	__DBVECTOR	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2252	__DBVECTOR = .text:0x800DD5F8; // type:label scope:global data:4byte
105	__OSEVSetNumber	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2253	__OSEVSetNumber = .text:0x800DD608; // type:label scope:global data:4byte
106	__OSEVEnd	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2254	__OSEVEnd = .text:0x800DD638; // type:label scope:global
107	OSDefaultExceptionHandler	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2255	OSDefaultExceptionHandler = .text:0x800DD63C; // type:function size:0x54 scope:global
108	__OSPSInit	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2256	__OSPSInit = .text:0x800DD690; // type:function size:0x38 scope:global
109	__OSGetDIConfig	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2257	__OSGetDIConfig = .text:0x800DD6C8; // type:function size:0x14 scope:global
110	OSInitAlarm	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2258	OSInitAlarm = .text:0x800DD6DC; // type:function size:0x4C scope:global
111	OSCreateAlarm	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2259	OSCreateAlarm = .text:0x800DD728; // type:function size:0xC scope:global
112	OSSetAlarm	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2261	OSSetAlarm = .text:0x800DD984; // type:function size:0x68 scope:global
113	OSCancelAlarm	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2262	OSCancelAlarm = .text:0x800DD9EC; // type:function size:0x11C scope:global
114	OSAllocFromHeap	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2266	OSAllocFromHeap = .text:0x800DDE30; // type:function size:0xFC scope:global
115	OSFreeToHeap	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2267	OSFreeToHeap = .text:0x800DDF2C; // type:function size:0x7C scope:global
116	OSSetCurrentHeap	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2268	OSSetCurrentHeap = .text:0x800DDFA8; // type:function size:0x10 scope:global
117	OSInitAlloc	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2269	OSInitAlloc = .text:0x800DDFB8; // type:function size:0x70 scope:global
118	OSCreateHeap	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2270	OSCreateHeap = .text:0x800DE028; // type:function size:0x6C scope:global
119	OSCheckHeap	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2271	OSCheckHeap = .text:0x800DE094; // type:function size:0x360 scope:global
120	OSReferentSize	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2272	OSReferentSize = .text:0x800DE3F4; // type:function size:0xC scope:global
121	OSGetArenaHi	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2273	OSGetArenaHi = .text:0x800DE400; // type:function size:0x8 scope:global
122	OSGetArenaLo	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2274	OSGetArenaLo = .text:0x800DE408; // type:function size:0x8 scope:global
123	OSSetArenaHi	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2275	OSSetArenaHi = .text:0x800DE410; // type:function size:0x8 scope:global
124	OSSetArenaLo	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2276	OSSetArenaLo = .text:0x800DE418; // type:function size:0x8 scope:global
125	__OSInitAudioSystem	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2277	__OSInitAudioSystem = .text:0x800DE420; // type:function size:0x1BC scope:global
126	__OSStopAudioSystem	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2278	__OSStopAudioSystem = .text:0x800DE5DC; // type:function size:0xD8 scope:global
127	__OSCacheInit	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2290	__OSCacheInit = .text:0x800DEA0C; // type:function size:0xF4 scope:global
128	__OSLoadFPUContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2291	__OSLoadFPUContext = .text:0x800DEB00; // type:function size:0x124 scope:local
129	__OSSaveFPUContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2292	__OSSaveFPUContext = .text:0x800DEC24; // type:function size:0x128 scope:local
130	OSLoadFPUContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2293	OSLoadFPUContext = .text:0x800DED4C; // type:function size:0x8 scope:global
131	OSSaveFPUContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2294	OSSaveFPUContext = .text:0x800DED54; // type:function size:0x8 scope:global
132	OSSetCurrentContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2295	OSSetCurrentContext = .text:0x800DED5C; // type:function size:0x5C scope:global
133	OSGetCurrentContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2296	OSGetCurrentContext = .text:0x800DEDB8; // type:function size:0xC scope:global
134	OSSaveContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2297	OSSaveContext = .text:0x800DEDC4; // type:function size:0x80 scope:global
135	OSLoadContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2298	OSLoadContext = .text:0x800DEE44; // type:function size:0xD8 scope:global
136	OSGetStackPointer	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2299	OSGetStackPointer = .text:0x800DEF1C; // type:function size:0x8 scope:global
137	OSClearContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2300	OSClearContext = .text:0x800DEF24; // type:function size:0x24 scope:global
138	OSDumpContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2301	OSDumpContext = .text:0x800DEF48; // type:function size:0x2A8 scope:global
139	OSSwitchFPUContext	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2302	OSSwitchFPUContext = .text:0x800DF1F0; // type:function size:0x84 scope:local
140	__OSContextInit	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2303	__OSContextInit = .text:0x800DF274; // type:function size:0x48 scope:global
141	OSReport	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2304	OSReport = .text:0x800DF2BC; // type:function size:0x80 scope:global
142	OSPanic	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2305	OSPanic = .text:0x800DF33C; // type:function size:0x12C scope:global
143	OSSetErrorHandler	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2306	OSSetErrorHandler = .text:0x800DF468; // type:function size:0x1C scope:global
144	__OSUnhandledException	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2307	__OSUnhandledException = .text:0x800DF484; // type:function size:0x200 scope:global
145	OSDisableInterrupts	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2308	OSDisableInterrupts = .text:0x800DF684; // type:function size:0x14 scope:global
146	__RAS_OSDisableInterrupts_begin	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2309	__RAS_OSDisableInterrupts_begin = .text:0x800DF684; // type:label scope:global
147	__RAS_OSDisableInterrupts_end	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2310	__RAS_OSDisableInterrupts_end = .text:0x800DF694; // type:label scope:global
148	OSEnableInterrupts	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2311	OSEnableInterrupts = .text:0x800DF698; // type:function size:0x14 scope:global
149	OSRestoreInterrupts	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2312	OSRestoreInterrupts = .text:0x800DF6AC; // type:function size:0x24 scope:global
150	__OSSetInterruptHandler	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2313	__OSSetInterruptHandler = .text:0x800DF6D0; // type:function size:0x1C scope:global
151	__OSGetInterruptHandler	docs/symbol_donors/sdk_symbol_sources/crashwoc_symbols.txt	2314	__OSGetInterruptHandler = .text:0x800DF6EC; // type:function size:0x14 scope:global
