# queue_to_batch.py --min-conf LOW (297 renames)


# === HIGH ===
fn_80024520 NuGlassRenderStatic  # mac [gcnemo NuGlassClose..NuGobjInit]
fn_80014180 NuSpecialGetMtx  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_80014214 NuSpecialDrawAt  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_80014248 NuSpecialList  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_80014274 NuHazeSetTint  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_800143B8 NuHazeCreateDepthTexture  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_8001448C NuHazeRender  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_8001459C NuLigthSetPolyHazeMat  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_800146AC NuLightAddHazePoly  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_800147CC NuLightGetHazeMtl  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_800148F4 NuShadowInit  # mac [gcnemo NuSplineFind..NuRndrGobjSkin2]
fn_80014C5C NuRndrTri2d  # mac [crashwoc_retail NuRndrGobjSkin2..NuTexAnimProgFind]
fn_80014D84 NuRndrStrip3d  # mac [crashwoc_retail NuRndrGobjSkin2..NuTexAnimProgFind]
fn_80014EC0 NuHGobjRndr  # mac [crashwoc_retail NuRndrGobjSkin2..NuTexAnimProgFind]
fn_800151CC NuHGobjEvalAnim2  # mac [crashwoc_retail NuRndrGobjSkin2..NuTexAnimProgFind]
fn_80015BD0 NuRndrItemDist  # mac [crashwoc_retail NuRndrGobjSkin2..NuTexAnimProgFind]
fn_80015C88 NuTexAnimProgInit  # mac [crashwoc_retail NuTexAnimProgFind..NuTexAnimSetSignals]
fn_8001610C pftaOn  # crashwoc [norm-body-match; module=gamecode]
fn_80016154 pftaOff  # crashwoc [norm-body-match; module=gamecode]
fn_800234A8 NuCameraDestroy  # mac [gcnemo NuAnimCurve2SetApplyBlendToJoint2..NuCameraClipTestPoints]
fn_80023628 NuCameraLookAt  # mac [gcnemo NuAnimCurve2SetApplyBlendToJoint2..NuCameraClipTestPoints]
fn_80023D98 NuCameraGetProjectionMtx  # mac [gcnemo NuCameraGetViewMtx..NuCameraGetClipMtx]
fn_80023DA4 NuCameraGetClippingMtx  # mac [gcnemo NuCameraGetViewMtx..NuCameraGetClipMtx]
fn_80024704 NuGobjCreate  # mac [gcnemo NuGobjClose..NuHazeClose]
fn_800247FC NuGobjDestroy  # mac [crashwoc_retail NuGobjClose..NuHazeClose]
fn_80024854 NuGobjAddGeom  # mac [crashwoc_retail NuGobjClose..NuHazeClose]
fn_800248CC NuGobjAddFaceOnGeom  # mac [crashwoc_retail NuGobjClose..NuHazeClose]
fn_80024A34 NuGobjCalcFaceOnDims  # mac [crashwoc_retail NuGobjClose..NuHazeClose]
fn_80024BB8 NuGobjAddGeom  # mac [gcnemo NuGobjClose..NuHazeClose]
fn_80024BF0 NuHazeRender  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024C18 NuLigthSetPolyHazeMat  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024C40 NuLightAddHazePoly  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024C64 NuLightGetHazeMtl  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024CD4 NuShadowInit  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024D0C NuShadowSetPos  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024D34 NuShadowSetTextureScale  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
fn_80024D44 NuShadowCopyBackbuffer  # mac [gcnemo NuHazeClose..NuMtlSetCurrentRenderPlane]
