source_binary	architecture	address	symbol_type	section	type_abbrev	raw_name	clean_name	demangled	subsystem
lsw2	i386	0x2b1344	S	sym	other	_Lock_RAD_3D_image_lin.eh	Lock_RAD_3D_image_lin.eh		Other
lsw2	i386	0x2b1370	S	sym	other	_Unlock_RAD_3D_image_lin.eh	Unlock_RAD_3D_image_lin.eh		Other
lsw2	i386	0x2b1394	S	sym	other	_Open_RAD_3D_image_lin.eh	Open_RAD_3D_image_lin.eh		Other
lsw2	i386	0x2b13c0	S	sym	other	_Close_RAD_3D_image_lin.eh	Close_RAD_3D_image_lin.eh		Other
lsw2	i386	0x2b13e8	S	sym	other	_Open_RAD_3D_image_pow2.eh	Open_RAD_3D_image_pow2.eh		Other
lsw2	i386	0x2b1414	S	sym	other	__Z19get_texture_formatsPN9IndirectX10IDirect3D9ENS_10_D3DFORMATEP5RAD3D.eh	_Z19get_texture_formatsPN9IndirectX10IDirect3D9ENS_10_D3DFORMATEP5RAD3D.eh		Other
lsw2	i386	0x2b1440	S	sym	other	_Open_RAD_3D.eh	Open_RAD_3D.eh		Other
lsw2	i386	0x2b146c	S	sym	other	_Unlock_RAD_3D_image.eh	Unlock_RAD_3D_image.eh		Other
lsw2	i386	0x2b1d80	s	sym	other	__ZZ22Action_CreateCreaturesP7AISYS_sP17AISCRIPTPROCESS_sP10AIPACKET_sPPciifE5C.892	_ZZ22Action_CreateCreaturesP7AISYS_sP17AISCRIPTPROCESS_sP10AIPACKET_sPPciifE5C.892		Other
lsw2	i386	0x2b1ea0	s	sym	other	__ZZ21MakeFreePlayModelListE5C.450	_ZZ21MakeFreePlayModelListE5C.450		Other
lsw2	i386	0x2b28a0	s	sym	other	_kDefaultProductID	kDefaultProductID		Other
lsw2	i386	0x2b28a2	s	sym	other	_kDefaultServerPort	kDefaultServerPort		Other
lsw2	i386	0x2b28e0	s	sym	other	_kAppEventList.199168	kAppEventList.199168		Other
lsw2	i386	0x2b2940	s	sym	other	__ZN18CVideoOptionsPanel22s_ValidResolutionsListE	_ZN18CVideoOptionsPanel22s_ValidResolutionsListE		Other
lsw2	i386	0x2b2c60	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.419	_ZZ35NuWin32InitializeVertexDeclarationsE5C.419		Other
lsw2	i386	0x2b2cc0	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.418	_ZZ35NuWin32InitializeVertexDeclarationsE5C.418		Other
lsw2	i386	0x2b2d20	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.417	_ZZ35NuWin32InitializeVertexDeclarationsE5C.417		Other
lsw2	i386	0x2b2d80	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.416	_ZZ35NuWin32InitializeVertexDeclarationsE5C.416		Other
lsw2	i386	0x2b2de0	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.415	_ZZ35NuWin32InitializeVertexDeclarationsE5C.415		Other
lsw2	i386	0x2b2e40	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.414	_ZZ35NuWin32InitializeVertexDeclarationsE5C.414		Other
lsw2	i386	0x2b2ea0	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.413	_ZZ35NuWin32InitializeVertexDeclarationsE5C.413		Other
lsw2	i386	0x2b2f00	s	sym	other	__ZZ35NuWin32InitializeVertexDeclarationsE5C.412	_ZZ35NuWin32InitializeVertexDeclarationsE5C.412		Other
