source_binary	architecture	address	symbol_type	section	type_abbrev	raw_name	clean_name	demangled	subsystem
lsw1_demo	ppc	0x1bb30	t	text	func	__Z12NuDatFilePosi	_Z12NuDatFilePosi		Other
lsw1_demo	ppc	0x1bb70	t	text	func	__Z13NuDatFileReadiPvi	_Z13NuDatFileReadiPvi		Other
lsw1_demo	ppc	0x1bca0	t	text	func	__Z13NuDatFileSeekiii	_Z13NuDatFileSeekiii		Other
lsw1_demo	ppc	0x1bd50	t	text	func	__Z17NuDatFileFindTreeP10nudathdr_sPc	_Z17NuDatFileFindTreeP10nudathdr_sPc		Other
lsw1_demo	ppc	0x1be70	t	text	func	__Z14NuDatFileClosei	_Z14NuDatFileClosei		Other
lsw1_demo	ppc	0x1bec0	t	text	func	__Z13NuDatFileOpenP10nudathdr_sPc12nufilemode_e	_Z13NuDatFileOpenP10nudathdr_sPc12nufilemode_e		Other
lsw1_demo	ppc	0x1c150	t	text	func	__Z17NuDatFileOpenSizei	_Z17NuDatFileOpenSizei		Other
lsw1_demo	ppc	0x1c190	t	text	func	__Z8NuMcOpeniiPcii	_Z8NuMcOpeniiPcii		Other
lsw1_demo	ppc	0x1c1a0	t	text	func	__Z12NuMcOpenSizei	_Z12NuMcOpenSizei		Other
lsw1_demo	ppc	0x1c1b0	t	text	func	__Z8NuMcReadiPvii	_Z8NuMcReadiPvii		Other
lsw1_demo	ppc	0x1c1c0	t	text	func	__Z9NuMcWriteiPvii	_Z9NuMcWriteiPvii		Other
lsw1_demo	ppc	0x1c1d0	t	text	func	__Z9NuMcCloseii	_Z9NuMcCloseii		Other
lsw1_demo	ppc	0x1c1e0	t	text	func	__Z8NuMcSeekiiii	_Z8NuMcSeekiiii		Other
lsw1_demo	ppc	0x1c1f0	t	text	func	__Z11NuMcOpenDiriiPc	_Z11NuMcOpenDiriiPc		Other
lsw1_demo	ppc	0x1c200	t	text	func	__Z12NuMcCloseDiri	_Z12NuMcCloseDiri		Other
