# Mac String Xrefs
# Total: 1054
# ref_addr | binary | str_addr | pattern | func_name | content

0x00072480 | LSW2 PPC     | 0x0026d970 | abs_lis+op14    | __Z22Action_ReleaseTakeOverP7AISYS_sP17A | "lasBloom.fxr"
0x000724a0 | LSW2 PPC     | 0x0026d970 | abs_lis+op14    | __Z22Action_ReleaseTakeOverP7AISYS_sP17A | "lasBloom.fxr"
0x00072500 | LSW2 PPC     | 0x0026f1e8 | abs_lis+op14    | __Z22Action_ReleaseTakeOverP7AISYS_sP17A | "usic="
0x0007252c | LSW2 PPC     | 0x0026f1e8 | abs_lis+op14    | __Z22Action_ReleaseTakeOverP7AISYS_sP17A | "usic="
0x00072770 | LSW2 PPC     | 0x0026e454 | abs_lis+op14    | __Z24Action_SetTakeOverTargetP7AISYS_sP1 | "x_gen_embm_tc.fopen_doors"
0x00072774 | LSW2 PPC     | 0x0026e454 | abs_lis+op14    | __Z24Action_SetTakeOverTargetP7AISYS_sP1 | "x_gen_embm_tc.fopen_doors"
0x00072d00 | LSW2 PPC     | 0x002724e8 | abs_lis+op34    | __Z27Action_AwkwardShapeOverrideP7AISYS_ | "en file: %s"
0x00072d24 | LSW2 PPC     | 0x002724e8 | abs_lis+op34    | __Z27Action_AwkwardShapeOverrideP7AISYS_ | "en file: %s"
0x00073200 | LSW2 PPC     | 0x0026eda8 | abs_lis+op14    | __Z23Condition_HitPointsInitP7AISYS_sPc  | "en"
0x000734c0 | LSW2 PPC     | 0x0026f258 | abs_lis+op14    | _NuWarning                               | " All Multipter_groups="
0x00073704 | LSW2 PPC     | 0x0026f284 | abs_lis+op14    | _GameAnimSet_AddSpecial                  | "er_platforms="
0x000738c0 | LSW2 PPC     | 0x0026e848 | abs_lis+op14    | _GameAnimSet_IsAnimationFinished         | "obi"
0x00073b04 | LSW2 PPC     | 0x0026e454 | abs_lis+op14    | _GameAnimSet_Play                        | "x_gen_embm_tc.fopen_doors"
0x00074188 | LSW2 PPC     | 0x0026f294 | abs_lis+op14    | _LineIntersectXY                         | "lights?"
0x000741a4 | LSW2 PPC     | 0x0026f294 | abs_lis+op14    | _LineIntersectXY                         | "lights?"
0x00074680 | LSW2 PPC     | 0x0026f2d0 | abs_lis+op14    | __Z17SplinePointAnglesP11nugspline_siiPt | "ons"
0x00074684 | LSW2 PPC     | 0x0026f2d0 | abs_lis+op14    | __Z17SplinePointAnglesP11nugspline_siiPt | "ons"
0x00074704 | LSW2 PPC     | 0x0026e81c | abs_lis+op34    | __Z17SplinePointAnglesP11nugspline_siiPt | "r.fxr"
0x00074838 | LSW2 PPC     | 0x0026f300 | abs_lis+op14    | _MoveSplinePosition                      | "rt"
0x00074c0c | LSW2 PPC     | 0x0027243c | abs_lis+op34    | _InitSplinePosition                      | "hter"
0x00074dc4 | LSW2 PPC     | 0x0026f378 | abs_lis+op14    | _GetNearestSplinePos                     | "ipup_start"
0x00075488 | LSW2 PPC     | 0x0026f3d0 | abs_lis+op14    | _MatrixReflection                        | "=""
0x00075964 | LSW2 PPC     | 0x0026f438 | abs_lis+op14    | _GameShadow                              | "ave Lights/objanim=""
