# LSW1 Demo Data/BSS Symbols
# name	address	section
_GUNSHIPBOUTMUL	001efd24	data
_GUNSHIPHEARTSCALE	001f04e8	data
_GUNSHIPINROLLDEG	001e8fa4	data
_Game	033b4e58	bss
_GameAILoadFn	033f15a0	bss
_GameCData	001e5958	data
_GameCam	033e97c0	bss
_GameComplete	033e0610	bss
_GameFrame	033b5070	bss
_GameMenu	03427048	bss
_GameMenuInfo	001f39e8	data
_GameMenuLevel	001f3d28	data
_GameMessage	033eee78	bss
_GameMode	033b4a30	bss
_GamePad	00e48210	bss
_GamePlayTimer	033b50a8	bss
_GameTimer	033b50b8	bss
_GasganosPodAnim	001df408	data
_GeonosianAnim	001e0248	data
_GetCharacterGoalSpeedFn	033f159c	bss
_GetHearDistanceFn	033f1594	bss
_GetMaxViewHeightFn	033f1590	bss
_GetMinViewHeightFn	033f158c	bss
_GetViewRangeFn	033f1598	bss
_GlobalCharacterHGobjFn	033f15b4	bss
_GlobalCharacterNameFn	033f15bc	bss
_GlobalCharacterRenderFn	033f15b8	bss
_GlobalCharacterTypeIDFn	033f15c0	bss
_GlobalSfxBits	03425880	bss
_GlobalTimer	033b50c8	bss
_GonkDroidAnim	001e1808	data
_GrievousACutList	001e9ad4	data
_GrievousAnim	001e0c88	data
_Grievous_obj	033e299c	bss
_Grievous_showhearts_message	033e29a0	bss
_GunganACutList	001e9590	data
_GunganAnim	001d6cc8	data
_GunganECutList	001e95b0	data
_GunganIntro2CutList	001e958c	data
_GunganOutro2CutList	001e95b4	data
_GunshipACutList	001e9a90	data
_GunshipADieAng	03426264	bss
_GunshipADiePos	001f2090	data
_GunshipANorm	033e29f4	bss
_GunshipAOffset	001efd18	data
_GunshipBCutList	001e9a94	data
_GunshipBDieAng	03426262	bss
_GunshipBDiePos	001f209c	data
_HDRAdaptedLuminanceSurface	03728df8	bss
_HDRAdaptedLuminanceTexture	03728e20	bss
_HDRCopyLuminanceSurface	03728e48	bss
_HDRCopyLuminanceTexture	03728e4c	bss
_HDREnabled	03728ea0	bss
_HDRLighting	00e3dd34	bss
_HDRLuminanceSurface	03728e50	bss
_HDRLuminanceTexture	03728e70	bss
_HDRReRouteFrameBuffer	03728e9c	bss
_HDRSurface	03728e90	bss
_HDRTexture	03728e94	bss
_HEARTDX	001efebc	data
_HEARTSIZE	001efeb8	data
_HGobjCounter	03492fdc	bss
_HIDDENTIME	001efdb8	data
_HIGHGAMEOBJECT	033f4774	bss
_HINTB1	001f035c	data
_HINTB2	001f0368	data
_HINTG1	001f0358	data
_HINTG2	001f0364	data
_HINTICONSCALE	001f0354	data
_HINTMESSAGESCALE	001f0350	data
_HINTMESSAGEX	001f034c	data
_HINTR1	033eee04	bss
_HINTR2	001f0360	data
_HINTY	001f0348	data
_HITBMUL	03492fe4	bss
_HITGMUL	03492fe8	bss
_HITRMUL	001f5f24	data
_HOVERWAIT	033bc8f0	bss
_HURRYSIZE	00e19228	data
_HURRYY	00e19224	data
_HailFireDroidAnim	001e1988	data
_Hint	033eee14	bss
_HintAlpha	033eee0c	bss
_HintCosts	001f4948	data
_HintCurPos	03427d10	bss
_HintData	001eff48	data
_HintItems	03428760	bss
_HintShelfIds	03427d64	bss
_HintTab	001f4914	data
_HintTime	033eee08	bss
_ICONCURSORSIZE	001f5da4	data
_ICONFRAMEZ	001efed8	data
_ICONPROMPTDY	001efee4	data
_ICONPROMPTTEXTX	001efee8	data
_ICONPROMPTX	001efee0	data
_ICONSIZE	001efec8	data
_ICONX	001efecc	data
_ICONZ	001efed4	data
_IID_IDirectInput8A	001cbfc0	sdata/sbss
_INROLLDEG	001e8fa8	data
_INTROTEXTSCALE	001f677c	data
_INTROTEXTSPACING	001f6780	data
_INTROTEXTWIDTH	001f6778	data
_INTROTEXTY	001f6784	data
_INVULNERABLETIME	001f0990	data
_IconCharTab	0342d478	bss
_IconFade	033e0600	bss
_IgnoreWallSplines	03425dd8	bss
_InhibitGadget	033e93c0	bss
_JANGOHOVERHEIGHT	001e90a0	data
_JANGOPPS	001e90a4	data
_JANGOPREX	001e8bcc	data
_JARJARJUMPRANGE	001f3cb0	data
_JUMPENDTIME	001e9078	data
_JUMPRANGE	001f3ca8	data
_JangoFettAnim	001d5908	data
_JarJarBinksAnim	001d69c8	data
_JediBCutList	001e98a4	data
_JediB_playerids	001e988c	data
_JediIntroCutList	001e9774	data
_JediOutroCutList	001e98a8	data
_JediRollDeg	001f0720	data
_JediSFighterSpeedX	001f072c	data
